 2459136.47219 | 13/10/2020 23:20 | 0.419233590278 AU |22.3265 " |

 2459921.73303 | 08/12/2022 05:36 | 0.549559714051 AU |17.0318 " |

 2460691.60581 | 16/01/2025 02:32 | 0.643671438976 AU |14.5416 " |

 2461456.15596 | 19/02/2027 15:45 | 0.677933182438 AU |13.8067 " |

 2462220.82132 | 25/03/2029 07:43 | 0.649131876663 AU |14.4193 " |

 2462990.99818 | 04/05/2031 11:57 | 0.55889296479 AU |16.7474 " |

 2463776.55814 | 28/06/2033 01:24 | 0.427229097822 AU |21.9086 " |

 2464586.31452 | 15/09/2035 19:33 | 0.381693956669 AU |24.5223 " |

 2465381.87764 | 19/11/2037 09:04 | 0.49960246024 AU |18.7349 " |

 2466156.13983 | 02/01/2040 15:21 | 0.613636600341 AU |15.2533 " |

 2466921.99915 | 06/02/2042 11:59 | 0.671895399736 AU |13.9307 " |

 2467686.03071 | 11/03/2044 12:44 | 0.667901727497 AU |14.014 " |

 2468453.25036 | 17/04/2046 18:01 | 0.601201364495 AU |15.5688 " |

 2469231.11458 | 03/06/2048 14:45 | 0.47969484216 AU |19.5124 " |

 2470032.82346 | 14/08/2050 07:46 | 0.374155924858 AU |25.0163 " |

 2470838.76948 | 28/10/2052 06:28 | 0.446416982693 AU |20.9669 " |

 2471619.42273 | 17/12/2054 22:09 | 0.574408508924 AU |16.295 " |

 2472387.55959 | 24/01/2057 01:26 | 0.656330214939 AU |14.2611 " |

 2473151.72570 | 27/02/2059 05:25 | 0.676975039693 AU |13.8262 " |

